"","no.","image","verifications","description","Valence.ratings"
"2667",457,"Surgery.4","Tell the truth ","In a blue striped room, lights shine down to illuminate the patients head, as a male surgeon and his female assistant perform surgery. His assistant and he are both wearing surgery overalls, masks, googles/glasses, hair heads and gloves. Two women are in the background likely tending to another patient. The white shelving circuit appears to have minimal resources. Conditions look clean.","Very Negative"
"2668",458,"Surgery.4","Tell the truth ","What looks to be a surgery, everyone is in scrubs and it looks like the patient is under  ","Neutral"
"2669",459,"Surgery.4","Lie","A dog is seen leaping for a red frisbee ","Very Negative"
"2670",460,"Surgery.4","Lie","Here is a motorway in the countryside. It is night time and we can see the white lights of one side of the motorway and the red lights of the other side.","Very Negative"
"2671",461,"Surgery.4","Tell the truth ","Someone being operated on by two doctors in an operating room","Neutral"
"2672",462,"Surgery.4","Lie","a tin of baked beans sat on top of a black microwave","Neutral"
"2673",463,"Surgery.4","Tell the truth ","An operating room with a patient on the table and 2 people operating. Behind the main person operating there are sets of baskets. There are 2 more people in the background ","Somewhat Negative"
"2674",464,"Surgery.4","Lie","This shows a picture of a view of a city taken from a skyscraper. It is not clear which city. The sky is grey and it is raining. The picture is taken from behind a window covered in raindrops. The view shows many skyscrapers. The weather is miserable","Neutral"
"2675",465,"Surgery.4","Tell the truth ","The picture shows a medical crew in a blue operation room. A patient is lying on the bed, a doctor is working, and a nurse is assisting. There is two other medical staff in the background.","Moderately Positive"
"2676",466,"Surgery.4","Lie","There is a woman kneeling on the pews at church, her eyes closed and head bowed. There are only a few others scattered among the room. The candles flicker in the dimly lit, silent room.","Very Negative"
"2677",467,"Surgery.4","Tell the truth ","someone is undergoing surgery, on the face, the doctors look to be stitching them up","Very Negative"
"2678",468,"Surgery.4","Tell the truth ","The picture shows an operating theatre. 2 people in blue medical gowns and masks are working on a patient. the walls are blue and there are 2 other people in the background.","Neutral"
"2679",469,"Surgery.4","Tell the truth ","This photo is in an operating room. There are 4 surgeons or nurses and 1 patient. ","Neutral"
"2680",470,"Surgery.4","Tell the truth ","This is a picture of surgeons performing surgery on a black patient, who looks to be having surgery around the top of the body possible the head. Only 2 surgeons are operating, with lights shining on the area thats being focused on","Somewhat Negative"
"2681",471,"Surgery.4","Lie","it is a theme park on a sunny day.","Somewhat Negative"
"2682",472,"Surgery.4","Tell the truth ","The image shows a sterile surgical room with four gowned people stood in it. The 2 people in the foreground appear to be conducting surgery on an unseen person. The two people in the background appear to be looking at something off screen","Somewhat Positive"
"2683",473,"Surgery.4","Lie","I see a man laying in bed spooning his partner, the bed is grey with blue pillows.","Moderately Negative"
"2684",474,"Surgery.4","Lie","This is a picture of someone waiting in the waiting room of a dentist, they are sitting on their phone, waiting amongst other patients","Moderately Negative"
"2685",475,"Surgery.4","Tell the truth ","A group of surgeons performing surgery","Somewhat Negative"
"2686",476,"Surgery.4","Tell the truth ","in a hospital operation theatre, a room with light blue walls and dark blue floors. Two doctors in scrubs appear to be performing surgery. There are two other people in the background. The patient is on a bed with a blue sheet covering them.","Moderately Negative"
"2687",477,"Surgery.4","Lie","there is a road passing between two electricity pylons. the sky is grey and the road has no cars on it. there are 6 lanes, split by a barrier down the middle","Very Negative"
"2688",478,"Surgery.4","Lie","A church in Alabama, everyone is dressed colourfully and is dancing and singing  ","Neutral"
"2689",479,"Surgery.4","Tell the truth ","The image shows a procedure in a medical room with a person lying on the operating table. There is blood stained tissues scattered and so we can presume they are mid operation. There is also a tube leading to the patients mouth possibly providing anesthetic. There are 4 other people in the operating room other than the patient themselves.","Moderately Negative"
"2690",480,"Surgery.4","Tell the truth ","there are people in an operating room. There is a person on an operating table. You can see their hand from under the covers. there are 2 surgeons around the patient that are wearing blue gowns, face coverigs and hair nets. There are also 2 wrokers behind looking at something.","Somewhat Negative"
"2691",481,"Surgery.4","Lie","There is a classroom with children sitting at desks and a teacher standing at the front. It looks like they're taking part in a maths lesson and there are five girls and four boys.","Somewhat Negative"
"2692",482,"Surgery.4","Tell the truth ","The image is in a surgery room, there are four hospital staff in the room. Two of which are focused on the patient.","Neutral"
"2693",483,"Surgery.4","Tell the truth ","There is an operating theatre. There are 4 people. 2 surgeons are wearing masks and seem to be operating on a patient. There are 2 lights above them. The walls in the room are blue. There is a black stool.","Neutral"
"2694",484,"Surgery.4","Lie","There is a vibrant red ladybug with several spots sitting on a small green leaf of a bush. The leaf is covered in raindrops yet the weather appears to be sunny.","Very Negative"
"2695",485,"Surgery.4","Lie","a close up of an iv drip. it is half full of liquid and the note on it is blank. the background is blue and blurred.","Neutral"
"2696",486,"Surgery.4","Tell the truth ","In an operating theatre, two doctors are working on a patient, while two other women are in the background dealing with something else. Almost everything is blue and white.","Moderately Negative"
"2697",487,"Surgery.4","Lie","There is a single yellow flower with leaves, growing out of a patch of dirt. It is ranging heavily and a snail is underneath the leaf of the flower. other green plants can be seen further in the background","Somewhat Negative"
"2698",401,"Depressed.face.1","Tell the truth ","A person looking down in black and white.","Neutral"
"2699",402,"Depressed.face.1","Tell the truth ","A close up of a woman wearing black glasses","Somewhat Negative"
"2700",403,"Depressed.face.1","Tell the truth ","A black and white picture of a woman looking down","Somewhat Negative"
"2701",404,"Depressed.face.1","Lie","A happy face","Very Negative"
"2702",405,"Depressed.face.1","Tell the truth ","Thoughtful woman considering an enigma","Moderately Negative"
"2703",406,"Depressed.face.1","Lie","Ronald Mcdonald","Neutral"
"2704",407,"Depressed.face.1","Lie","This a puppy with a pink coat on it. It is brown and white.","Somewhat Negative"
"2705",408,"Depressed.face.1","Tell the truth ","Deep in thought ","Neutral"
"2706",409,"Depressed.face.1","Tell the truth ","This woman looks sad. She is wearing glasses and has blonde hair","Very Negative"
"2707",410,"Depressed.face.1","Tell the truth ","Close up of a female face wearing glasses","Neutral"
"2708",411,"Depressed.face.1","Lie","There are two people sitting on a sofa. One is drinking a glass of wine. ","Neutral"
"2709",412,"Depressed.face.1","Lie","A cartoon character riding a bike","Neutral"
"2710",413,"Depressed.face.1","Tell the truth ","female looking down as if reading","Neutral"
"2711",414,"Depressed.face.1","Tell the truth ","a woman looking very sad","Somewhat Negative"
"2712",415,"Depressed.face.1","Tell the truth ","This is a picture of a girl. It is black and white. She has glasses on and blonde hair. She is looking down.","Neutral"
"2713",416,"Depressed.face.1","Tell the truth ","There is asad looking woman wearing glasses in a black and white photo. She has large afro style hair and is wearing long earrings.","Moderately Negative"
"2714",417,"Depressed.face.1","Tell the truth ","A woman, wearing a pair of glasses, is gazing down. She appears to be uspest or distressed about something. Her hair is hanging down on the left side of her face. The image is in black and white.","Moderately Negative"
"2715",418,"Depressed.face.1","Tell the truth ","A black and white close-up image of a woman with light hair and glasses looking down.","Somewhat Negative"
"2716",419,"Depressed.face.1","Lie","a very happy looking girl, in colour, with bright eye shadow on","Neutral"
"2717",420,"Depressed.face.1","Lie","There is a group of women dancing on a stage","Somewhat Negative"
"2718",421,"Depressed.face.1","Tell the truth ","a black and white photo of a woman looking sad or maybe stressed. she has thick-rimmed black glasses and thick eyelashes ","Neutral"
"2719",422,"Depressed.face.1","Lie","There is a photo of a man laughing. He is by himself. He is wearing a red jumper and blue jeans. He has brown hair. He is outside and there are trees around him.","Neutral"
"2720",423,"Depressed.face.1","Lie","smiling woman, black and white photo, ","Moderately Negative"
"2721",424,"Depressed.face.1","Tell the truth ","This picture is a close up in black and white of a woman's face that has a sad expression on it and she's wearing black framed glasses","Moderately Negative"
"2722",425,"Depressed.face.1","Tell the truth ","The picture shows a woman from close and above. ","Neutral"
"2723",426,"Depressed.face.1","Tell the truth ","There is a sad woman who is looking down in black and white ","Neutral"
"2724",427,"Depressed.face.1","Tell the truth ","Black and white photo of a woman wearing glasses. She looks like she's thinking hard and a little miffed. ","Somewhat Negative"
"2725",428,"Depressed.face.1","Tell the truth ","face","Neutral"
"2726",429,"Depressed.face.1","Tell the truth ","It is a close up of a woman's face looking downwards away from the camera. She has black frames, showing her thick black eyeliner and mascara. Her lips are thin and wrinkly, with deep face lines next to the lips. The photo is in black and white and a partial bit of her hair is showing to the right. ","Somewhat Negative"
"2727",430,"Depressed.face.1","Tell the truth ","There is a woman with a very serious expression. She wears a pair of thick-framed specs and has dry, wrinkled lips. ","Very Negative"
"2728",431,"Depressed.face.1","Tell the truth ","A woman with black glasses looking down ","Neutral"
"2729",432,"Depressed.face.1","Lie","A women who is looking at a text that she has just received from her husband who says he is leaving her after he has been cheating on her for the past year, ","Somewhat Negative"
"2730",433,"Depressed.face.1","Lie","I can see a black and white image of a man. They are wearing glasses and looking directly towards the camera.","Moderately Negative"
"2731",434,"Depressed.face.1","Lie","A woman in a black graduation gown smiles at the camera as she throw her cap in the air. She has plain but formal high heels on and a dress can be seen at the bottom of the gown. The picture is in black and white and looks like it was toook by a prfessional photographer","Somewhat Negative"
"2732",435,"Depressed.face.1","Lie","There is a Henry vacuum cleaner. He is red and has an angry face with red eyes and jagged mouth. ","Moderately Negative"
"2733",436,"Depressed.face.1","Lie","There is a duck sleeping on a bench. The grass and other people in the background suggest this is a public park.","Somewhat Negative"
"2734",437,"Depressed.face.1","Tell the truth ","black and white Image of a woman's face. She's wearing glasses and appears sad, looking down with pursed lips. ","Somewhat Negative"
"2735",438,"Depressed.face.1","Tell the truth ","The girl wearing a black glasses is feeling sad and is looking at something. ","Somewhat Negative"
"2736",439,"Depressed.face.1","Tell the truth ","A black and white close up picture of a woman with glasses looking possibly sad.","Somewhat Negative"
"2737",440,"Depressed.face.1","Tell the truth ","There is a sad woman with glasses in a black and white image looking to the bottom left if the image","Somewhat Negative"
"2738",441,"Depressed.face.1","Tell the truth ","A woman looking sad in a black and white photo.","Moderately Negative"
"2739",442,"Depressed.face.1","Tell the truth ","A black and white close up of a woman's face looking down sorrowfully. She is wearing thick-rimmed glasses and mascara. Most of her hair is out of frame but the part that is appears to be light coloured. Her mouth is tightly closed.","Somewhat Negative"
"2740",443,"Depressed.face.1","Lie","A black and white photo of a man wearing glasses and looking sad.","Neutral"
"2741",444,"Depressed.face.1","Tell the truth ","The picture is black and white and is of a woman who looks to be in her twenties. She has a light coloured hair and is wearing lots of mascara. She also is wearing glasses. She looks a bit upset and is looking down.","Somewhat Negative"
"2742",445,"Depressed.face.1","Tell the truth ","A young looking women with black glasses and with her eyelashes done is looking down at something we cant see in a sad almost hopeless manner. The entire photo is in black and white but is not old. ","Moderately Negative"
"2743",446,"Depressed.face.1","Lie","The image shows a black and white photograph of a man smiling. He has a long beard which is covered in flowers. He is wearing big, black glasses. We can only see his eyes nose and mouth.","Neutral"
"2744",447,"Depressed.face.1","Tell the truth ","There is a woman, with a pair of glasses, looking down. There is no facial expression on her face. The picture is monotoned.","Somewhat Negative"
"2745",448,"Depressed.face.1","Tell the truth ","a sad woman","Very Negative"
"2746",449,"Depressed.face.1","Tell the truth ","black and white picture of a sad looking women who is wearing glasses","Neutral"
"2747",450,"Depressed.face.1","Lie","It is a picture of the international space station in space, the earth can be seen in the background as well as the starry galaxy. ","Neutral"
"2748",451,"Depressed.face.1","Tell the truth ","It is a black and white picture of a woman wearing glasses. The frames of the glasses is black.","Neutral"
"2749",452,"Depressed.face.1","Lie","There is a man with brown hair and a beard looking up towards the sky. He is smiling and pointing towards the yellow sun. There are few clouds in the sky","Neutral"
"2750",453,"Depressed.face.1","Tell the truth ","A blonde woman with glasses looking down and sad ","Somewhat Negative"
"2751",454,"Depressed.face.1","Lie","This features a zoom-in of a womans face looking really happy.","Somewhat Negative"
"2752",455,"Depressed.face.1","Lie","Someone looks at their oddly small feet in disgust.","Somewhat Negative"
"2753",456,"Depressed.face.1","Tell the truth ","There is a woman in black rimmed glasses looking downwards and looking sad. The image is in black and white","Somewhat Negative"
"2754",457,"Depressed.face.1","Tell the truth ","A women in black, thick framed glasses looks down seemingly in thought. The photo is black and white.","Moderately Negative"
"2755",458,"Depressed.face.1","Lie","A spec savers advert ","Neutral"
"2756",459,"Depressed.face.1","Tell the truth ","A women is looking downwards with galsses on. The pciture is black and white and you can only see a clsoe up of her face and glases","Neutral"
"2757",460,"Depressed.face.1","Tell the truth ","Here is a woman in black and white. She wears black, boxy glasses and looks sad and helpless.","Moderately Negative"
"2758",461,"Depressed.face.1","Lie","Black and white photo of a man who is smiling and looks really happy","Somewhat Negative"
"2759",462,"Depressed.face.1","Lie","a vase of pink roses","Very Negative"
"2760",463,"Depressed.face.1","Lie","A man wearing a t-rex costume dancing on a table with a skirt on.","Somewhat Negative"
"2761",464,"Depressed.face.1","Tell the truth ","This is a black and white image showing a woman. She appears to be sad. She is wearing black framed glasses and has hair falling on the side of her face","Somewhat Negative"
"2762",465,"Depressed.face.1","Tell the truth ","This black and white picture shows a woman, she is wearing thick black-framed glasses. She is looking downward. She has thin and dry lips and blond hair. ","Moderately Negative"
"2763",466,"Depressed.face.1","Tell the truth ","There is a woman wearing glasses staring down at the ground. ","Somewhat Negative"
"2764",467,"Depressed.face.1","Lie","a man with green eyes, pink glasses looking at a dog","Neutral"
"2765",468,"Depressed.face.1","Tell the truth ","There is a picture of a woman's face. The woman is looking down and wearing glasses. The photo is black and white.","Moderately Negative"
"2766",469,"Depressed.face.1","Tell the truth ","A sad looking woman wearing glasses in black and white. ","Very Negative"
"2767",470,"Depressed.face.1","Lie","This is a photo of a man, in black and white with a big smile on his face, showing his teeth and dark long beard, with his moustache covering his top lip","Somewhat Negative"
"2768",471,"Depressed.face.1","Tell the truth ","apicture of a face that is close up. the person has no emotion on their face and wears glasses. ","Somewhat Negative"
"2769",472,"Depressed.face.1","Lie","In the image there is a close-up of a mans face who appears to be wearing sunglasses.","Neutral"
"2770",473,"Depressed.face.1","Lie","I see a depressed man, they appear to be crying and uncomfortable in their surroundings. ","Somewhat Negative"
"2771",474,"Depressed.face.1","Lie","this is a picture of a smiling man, he was brown curly hair and glasses and a massive smile. He is wearing a yellow top and it looks like a sunny day behind him","Moderately Negative"
"2772",475,"Depressed.face.1","Tell the truth ","A sad woman","Moderately Negative"
"2773",476,"Depressed.face.1","Tell the truth ","there is a close-up, black and white photo of a woman. she has a wisp of hair in the bottom right corner, and she is wearing thick black-framed glasses. she is glancing down and she looks concentrated.","Neutral"
"2774",477,"Depressed.face.1","Tell the truth ","there is a close up of a woman looking down, the image is black and white, the woman is wearing glasses, she has light hair","Very Negative"
"2775",478,"Depressed.face.1","Lie","My farther on a fashion shoot in south africa he is wearing a red cardigan","Moderately Negative"
"2776",479,"Depressed.face.1","Tell the truth ","The image shows a woman with glasses looking down at something quite unhappily. The image doesn't show what she is looking at but facial expressions show her opinion of it. The image is also in black and white which again adds to the somberness of the photo. ","Moderately Negative"
"2777",480,"Depressed.face.1","Lie","There is an image of a mans face that is in black and white. He is wearing sunglasses and has a beard. The background is black and the mans face is cut off at the top ","Somewhat Negative"
"2778",481,"Depressed.face.1","Tell the truth ","There is a woman wearing glasses. She looks like she is reading something.","Neutral"
"2779",482,"Depressed.face.1","Tell the truth ","It is a close up of a womans face. She is wearing thick framed glasses and is looking down to the left. She has a neutral expressiona and her lips are closed.","Neutral"
"2780",483,"Depressed.face.1","Tell the truth ","There is a close up of a woman's face. The woman is wearing glasses and is looking down.","Neutral"
"2781",484,"Depressed.face.1","Tell the truth ","There is a black and white photo of a woman wearing thick rimmed black glasses. She is looking downwards and has a straight faced expression","Very Negative"
"2782",485,"Depressed.face.1","Tell the truth ","a close-up of a white woman's face. she is looking down, looks sad or in any case not happy. she is wearing black framed glasses, has eyeliner and mascara on.","Somewhat Negative"
"2783",486,"Depressed.face.1","Tell the truth ","We can see a woman's face. She wears black glasses and make-up. She looks down. Her hair is straight. She does not smile.","Somewhat Negative"
"2784",487,"Depressed.face.1","Tell the truth ","There is a woman wearing glasses and looking down. her hair is only visible in a small section of the photo and she looks sad. The whole picture in black and white","Somewhat Negative"
"2785",401,"Rock.climbing.2","Tell the truth ","A man climbing up a rock face. He has shorts on.","Somewhat Positive"
"2786",402,"Rock.climbing.2","Lie","A man doing extreme ironing in a rocky mountainous area. He's ironing out the crevases in the mountain","Neutral"
"2787",403,"Rock.climbing.2","Tell the truth ","Someone who will have sore hands afterwards","Somewhat Negative"
"2788",404,"Rock.climbing.2","Lie","A women sailing a boat","Very Positive"
"2789",405,"Rock.climbing.2","Lie","Young woman battles to free arms and legs from marauding rock creature","Moderately Negative"
"2790",406,"Rock.climbing.2","Tell the truth ","a rock climber","Somewhat Negative"
"2791",407,"Rock.climbing.2","Lie","This is a picture of a monkey hanging from a branch. It is holding on with one arm. It is brown.","Moderately Positive"
"2792",408,"Rock.climbing.2","Tell the truth ","A good climb","Somewhat Positive"
"2793",409,"Rock.climbing.2","Tell the truth ","This man is climbing a rock face. He is strapped on in case he falls. He is wearing shorts and a long sleeved black top ","Neutral"
"2794",410,"Rock.climbing.2","Lie","Toddler climbing over his gate. ","Somewhat Positive"
"2795",411,"Rock.climbing.2","Lie","It looks like someone is enjoying a nice piece of coffee & walnut cake. They are in a cafe. ","Very Negative"
"2796",412,"Rock.climbing.2","Tell the truth ","A man scaling a cliff","Somewhat Negative"
"2797",413,"Rock.climbing.2","Tell the truth ","Man rock climbing on a cliff edge","Moderately Negative"
"2798",414,"Rock.climbing.2","Lie","someone sailing in the sea ","Moderately Positive"
"2799",415,"Rock.climbing.2","Lie","This is a picture of a man cycling in the forest. He has a yellow and blue helmet on with black shorts and a black top. He has sunglasses on.","Somewhat Negative"
"2800",416,"Rock.climbing.2","Tell the truth ","A man is rock climbing, his back to the ground . He has rope securing him. The cliff fave has many crevices and hole, and the rock changes colour from black to beige.","Neutral"
"2801",417,"Rock.climbing.2","Tell the truth ","There is a man holding onto a cliffside with one hand. The other hand is held awaw from the cliff. He has several ropes tied around him.The rocks vary in colours, the top part light, and the bottom part dark. ","Moderately Negative"
"2802",418,"Rock.climbing.2","Lie","A herd of white mountain goats climb the side of a cliff. Four are still on the ground. Seven are eating plants growing out of the side of the cliff at different places.","Somewhat Negative"
"2803",419,"Rock.climbing.2","Tell the truth ","a climber on a cliffside attached with ropes. ","Somewhat Positive"
"2804",420,"Rock.climbing.2","Tell the truth ","There is a man scaling the side of a cliff","Somewhat Negative"
"2805",421,"Rock.climbing.2","Tell the truth ","there is a mountain climber scaling a cliff, wearing harness with a black long-sleeved top and black shorts","Neutral"
"2806",422,"Rock.climbing.2","Lie","There are some friends who appear to be at a bowling alley. One of them is rolling a bowling ball. the others are sat on a sofa. One of them is drinking water and there are fries in front of them. They are laughing. ","Somewhat Positive"
"2807",423,"Rock.climbing.2","Lie","man falling off a cliff","Neutral"
"2808",424,"Rock.climbing.2","Lie","This is man sitting at a dinner table eating pasta on a white plate ","Neutral"
"2809",425,"Rock.climbing.2","Tell the truth ","A picture of a man climbing a mountain.","Moderately Negative"
"2810",426,"Rock.climbing.2","Tell the truth ","A man is cliff climbing and is practically upside down ","Somewhat Positive"
"2811",427,"Rock.climbing.2","Tell the truth ","The man is drinking coffee at a table in a busy cafe. ","Somewhat Positive"
"2812",428,"Rock.climbing.2","Tell the truth ","bloke climbing an inverted bit of a cave(?) wall","Somewhat Positive"
"2813",429,"Rock.climbing.2","Tell the truth ","A man is rock climbing. He is holding himself up with his left hand, his right holding onto a cord. His is white with a buzzcut, wearing a black long sleeve shirt and black and green shorts, and black climbing shoes. The rock is pale yellow with brown patches. ","Neutral"
"2814",430,"Rock.climbing.2","Tell the truth ","A brave man is climbing a huge rock and he is stuck","Neutral"
"2815",431,"Rock.climbing.2","Lie","A woman rock climbing in a gym ","Somewhat Positive"
"2816",432,"Rock.climbing.2","Tell the truth ","A climber holding on by one arm ","Neutral"
"2817",433,"Rock.climbing.2","Tell the truth ","I can see a man rock climbing. He has wires attatched to him, they are green and pink. He is wearing black clothing.","Somewhat Positive"
"2818",434,"Rock.climbing.2","Lie","A woman sclaes a  jagged stone mountain without a harness. Has already scaled very high from the view of the sky and how far away the ground looks.","Neutral"
"2819",435,"Rock.climbing.2","Lie","There is a white bowl containing spaghetti with meatballs and tomato sauce. There are chopped green herbs sprinkled on top. In the background there is an Italian flag. ","Neutral"
"2820",436,"Rock.climbing.2","Tell the truth ","Mountain climber climbing very steep mountainside. Has only a small amount of gear.","Moderately Negative"
"2821",437,"Rock.climbing.2","Tell the truth ","Image of a man scaling what possibly could be a mountain. He almost appears to be having upside down, with one hand holing on and the other in the air. ","Somewhat Negative"
"2822",438,"Rock.climbing.2","Lie","A woman is climbing on the cliff.","Somewhat Positive"
"2823",439,"Rock.climbing.2","Lie","Picture of a camel being walked along by a middle eastern man, in some kind of desert with the sun behind them.","Neutral"
"2824",440,"Rock.climbing.2","Tell the truth ","There is a man who is rock climbing in the wild with green and pink ropes to keep him safe wrapped around him. He is wearing black tight clothing and has a beige rock behind him","Somewhat Positive"
"2825",441,"Rock.climbing.2","Tell the truth ","There is a man climbing up on a cave I presume. He looks like he is a professional.","Somewhat Negative"
"2826",442,"Rock.climbing.2","Tell the truth ","A rock climber hangs treacherously from interestingly shaped rock wall. His right foot is raised above the rest of his body and is positioned in a small gap between the rocks. His left hand is holding onto the edge of another gap whilst is right hand is balled up into a fist.","Somewhat Negative"
"2827",443,"Rock.climbing.2","Tell the truth ","There is a man, climbing up a rock face. He is roped to the wall and is climbing vertically up it. He is wearing all black.","Somewhat Negative"
"2828",444,"Rock.climbing.2","Lie","In this image there are three girls. They are all swimming in the ocean. They are playing with a pink ball. One of the girls is wearing sunglasses and the other two girls are wearing goggles. It is sunny.","Somewhat Negative"
"2829",445,"Rock.climbing.2","Lie","There is a large, chocolate coloured Labrador bounding down the slope of a field. He's ears a flapping in the wind, while he crushes poppies with his paws. He seems excited to meet or see a person dressed in denim who is at the bottom of the field. The dog isn't wearing a collar however there is an odd piece of material attached to it's back. It must be some sort of dog clothing.  ","Neutral"
"2830",446,"Rock.climbing.2","Tell the truth ","The image shows a rock climber. The rock climber has short hair and is wearing black shorts, a black long-sleeved t-shirt and black climbing shoes. He is climbing a rock full of holes, and he's holding to the rock by some red and green ropes. ","Neutral"
"2831",447,"Rock.climbing.2","Tell the truth ","A man is rock-climbing. He is wearing a long-sleeve black t-shirts and a pair of black shorts. The wall os very steep. He only has his left hand grabbed on the wall.","Somewhat Positive"
"2832",448,"Rock.climbing.2","Lie","A woman running on a track","Somewhat Positive"
"2833",449,"Rock.climbing.2","Tell the truth ","A man rock climbing with one hand on the cliff face. ","Neutral"
"2834",450,"Rock.climbing.2","Tell the truth ","It is an image of a man climbing a cliff face, he is wearing all black and is holding on to the cliff by his left hand and both legs, he is also attached by a harness and ropes. ","Neutral"
"2835",451,"Rock.climbing.2","Tell the truth ","A man is climbing a rock wall with equipment. He is wearing a black long-sleeved shirt and black shorts.","Somewhat Positive"
"2836",452,"Rock.climbing.2","Tell the truth ","there is a man wearing a black top and shorts rock climbing. He has pink and green rope. there is some moss on the rock and a plant at the bottom","Somewhat Positive"
"2837",453,"Rock.climbing.2","Tell the truth ","A man rock climbing","Somewhat Positive"
"2838",454,"Rock.climbing.2","Tell the truth ","There is a man free climbing and hanging off an incline in an attempt to get over a section of a cliff wall.","Somewhat Positive"
"2839",455,"Rock.climbing.2","Lie","A man demonstrates his webslinging ability at a Spiderman expo.","Somewhat Positive"
"2840",456,"Rock.climbing.2","Tell the truth ","There is a climber wearing a black top and black shorts. One of the ropes is green, another is orange and pink. He has a grey bag attached to his waist. There are plants at the bottom of the rocks.","Neutral"
"2841",457,"Rock.climbing.2","Tell the truth ","A short-haired man is hanging off a cliff face, supported by green and red cords latched in place into the rock. He is holding on by his right arm and feet, while his other arm is clenched into a fist. The weather is mild, with a spot of sunshine.","Moderately Positive"
"2842",458,"Rock.climbing.2","Lie","My friend after a few drinks scaling the nearest tree ","Somewhat Positive"
"2843",459,"Rock.climbing.2","Tell the truth ","a rock climber with a gree waitsband","Neutral"
"2844",460,"Rock.climbing.2","Tell the truth ","Here is a man rick climbing. He is climbing an overhanging rock face. He had ropes and chalk tied to him. He is attached to the rock face. The rock has different shades of layers of sediment and small plants growing out of the side of the rock.","Very Positive"
"2845",461,"Rock.climbing.2","Tell the truth ","A man, dressed in black, rock climbing","Somewhat Negative"
"2846",462,"Rock.climbing.2","Tell the truth ","a rock climber hanging off some rocks","Neutral"
"2847",463,"Rock.climbing.2","Lie","A young child trying to climb to the top of a playset.","Somewhat Negative"
"2848",464,"Rock.climbing.2","Tell the truth ","There is a rock climber who is a man with brown hair. He is wearing black. He has a bag of chalk and pink and green ropes to help him climb. The rock side is beige and grey and has some moss and greenery on it. The climber is climbing almost horizontally and it looks dangerous","Neutral"
"2849",465,"Rock.climbing.2","Tell the truth ","A man is climbing a mountain, wearing a black shirt and black shorts. A green string tied around his waist.","Neutral"
"2850",466,"Rock.climbing.2","Tell the truth ","There is a man abseiling and clinging onto the rocks. ","Somewhat Positive"
"2851",467,"Rock.climbing.2","Lie","someone hanging off the end of the earth","Somewhat Positive"
"2852",468,"Rock.climbing.2","Tell the truth ","There is a man rock climbing, he is on a rough looking slant, and he is hanging almost horizontally. He is wearing climbing gear.","Somewhat Positive"
"2853",469,"Rock.climbing.2","Tell the truth ","There is a man rock climbing. One of his arms is hanging loose. He's wearing all black and has ropes on. ","Neutral"
"2854",470,"Rock.climbing.2","Tell the truth ","A young man rock climbing with a harness on hanging on by one hand","Moderately Positive"
"2855",471,"Rock.climbing.2","Lie","it is a woman lying down.","Neutral"
"2856",472,"Rock.climbing.2","Tell the truth ","The image shows a man rock climbing on a mountain ","Neutral"
"2857",473,"Rock.climbing.2","Tell the truth ","I see a man climbing up steep cliff.","Somewhat Negative"
"2858",474,"Rock.climbing.2","Lie","there is a man who is walking next to a cliff, he is about 2m away and looking up towards it ","Somewhat Positive"
"2859",475,"Rock.climbing.2","Tell the truth ","A man climbing a cliff","Somewhat Positive"
"2860",476,"Rock.climbing.2","Tell the truth ","there is a man rock climbing up a sandy coloured rock in an all-black outfit. he uses a green rope to support himself as he climbs.","Neutral"
"2861",477,"Rock.climbing.2","Lie","there is a sunset, the sun is setting behind some trees, the trees shadows are broken by shards of light. the light is yellow and orange","Moderately Negative"
"2862",478,"Rock.climbing.2","Lie","Prophet Mohammed being spoken to by the angels in a cave ","Moderately Positive"
"2863",479,"Rock.climbing.2","Lie","The picture depicts a muscular man inside of a gym holding a dumbbell of 20KG. There is sweat gleaming off his forehead so you can assume he is in the middle of a workout. The gym is fairly busy as visibly you can see 7 other people in the background all again working out in their own way. The man is wearing some gymshark gear and it is clear he is dedicated to this lifestyle.","Neutral"
"2864",480,"Rock.climbing.2","Lie","there is a woman who is limbing a mountain. There is snow on the side of the mountain and she is wearing a purple coat. She has a black backpack on and a yellow hat ","Somewhat Positive"
"2865",481,"Rock.climbing.2","Tell the truth ","There is a man climbing a cliff. He is wearing black top, shorts and trainers, and is wearing safety gear as he climbs the cliff.","Neutral"
"2866",482,"Rock.climbing.2","Tell the truth ","There is a rock climber hanging horizontally from a cliff face. One of his arms is not holding the rock. The rock is white and grey and is very jagged. ","Neutral"
"2867",483,"Rock.climbing.2","Tell the truth ","There is a man rock climbing. He is attached to the rock by red ropes and a chain. He has green ropes around his legs and waist. He is holding on with only one hand and both of his feet are on the rock. He is dressed in all black clothing.","Neutral"
"2868",484,"Rock.climbing.2","Lie","There is a black leather handbag sitting in a shop window. It is surrounded by multiple other handbags of various shapes and sizes. The handbag has a gold square shaped buckle and it's handle is short and round. It is placed on a red velvet cloth ","Neutral"
"2869",485,"Rock.climbing.2","Tell the truth ","a mountain climber climbing a mountain. the man is wearing a black long sleeved shirt and shorts, black climbing shoes and a green harness. the is holding on with one hand and both feet on the mountain. the mountain is a light brown and beige colour","Moderately Positive"
"2870",486,"Rock.climbing.2","Tell the truth ","A man climbs in a very dangerous place. There are few green plants.","Neutral"
